seed,cond,method,ece,brier,nll
3,clean,mora_permod,0.11042238587505523,0.24357082700892727,0.6809160532681666
3,img_subset,uncalibrated,0.31126438861024963,0.34826705555530146,1.3850811624182562
3,img_subset,static_temp,0.13005160707879426,0.2724041697537573,0.7565195636723226
3,img_subset,transcal,0.12554118144519133,0.2584408132649091,0.7128421766059913
3,img_subset,mora_global,0.20180606874442802,0.28524045168770934,0.8097980047094779
3,img_subset,mora_permod,0.20128786373269342,0.28486559535539235,0.8082161009923613
3,clin_subset,uncalibrated,0.21917514126411428,0.29267414244014955,0.8714408653646926
3,clin_subset,static_temp,0.07805086278951169,0.24624597271369003,0.6863216501560746
3,clin_subset,transcal,0.085306691962448,0.24567388158635417,0.6845381834711107
3,clin_subset,mora_global,0.0958280769330785,0.24943635298834638,0.6947189616034442
3,clin_subset,mora_permod,0.09694348088576034,0.24954998402895417,0.6949620088823277
4,clean,uncalibrated,0.17681765681156186,0.2723676030127028,0.7771296282997959
4,clean,static_temp,0.09089386259260822,0.2453729948201441,0.6838453176475534
4,clean,transcal,0.09519473932126903,0.24674985942071612,0.6866315845929032
4,clean,mora_global,0.08136018379571518,0.2423127891420812,0.6773430947640039
4,clean,mora_permod,0.09338059536595412,0.24223695090023536,0.6772407738780318
4,img_subset,uncalibrated,0.2961144746534562,0.33987323491875737,1.5213840190087105
4,img_subset,static_temp,0.08554358805826498,0.25231414085546267,0.698313146755881
4,img_subset,transcal,0.08846108602671439,0.2503599966098965,0.6939634420086601
4,img_subset,mora_global,0.11656910920426526,0.2691603193569567,0.7468186472298746
4,img_subset,mora_permod,0.1323229444239196,0.268718001390322,0.7451091845564186
4,clin_subset,uncalibrated,0.22787720734967018,0.3019434500601822,0.8834095850521064
4,clin_subset,static_temp,0.08869948194610616,0.24852391107697325,0.6901774670781103
4,clin_subset,transcal,0.09091573914411842,0.24880460704349203,0.6907494442771401
4,clin_subset,mora_global,0.08991667027538627,0.25045879534537996,0.694184311520214
4,clin_subset,mora_permod,0.09770248120611136,0.2510491460282759,0.6955692390623105
5,clean,uncalibrated,0.1435474870940523,0.2652253458223952,0.7625129584231093
5,clean,static_temp,0.07215721908485583,0.2495515903616164,0.6977684879532302
5,clean,transcal,0.09187354457790667,0.2485688754880315,0.694029792838009
5,clean,mora_global,0.08873934815542772,0.24825066136729618,0.6913630405529887
5,clean,mora_permod,0.08055723703091491,0.24800848124859753,0.6906781810756206
5,img_subset,uncalibrated,0.22451058901301962,0.3107437869042949,1.3106966629600942
5,img_subset,static_temp,0.16734888850193805,0.28627834967191773,0.8769417667275803
5,img_subset,transcal,0.1768261110225133,0.2816327934109448,0.8363558941879613
5,img_subset,mora_global,0.1436015135022358,0.26945978976276547,0.761776348258904
5,img_subset,mora_permod,0.155886782755163,0.2693404027029739,0.7617683811909797
5,clin_subset,uncalibrated,0.1634321168367905,0.27539908098025173,0.8064670571022335
5,clin_subset,static_temp,0.09967066912647389,0.253177627442187,0.7074063960871018
5,clin_subset,transcal,0.14498714036014237,0.25135177225147504,0.7010859531417489
5,clin_subset,mora_global,0.1305486447229776,0.2498506755979563,0.6949066616283145
5,clin_subset,mora_permod,0.1409075083748212,0.2501330450373778,0.6954822715086406
6,clean,uncalibrated,0.1753426226424562,0.27424879872414326,0.7737873875338289
6,clean,static_temp,0.09034419195614438,0.24266697663778686,0.677516465916719
6,clean,transcal,0.08908911007209223,0.24528447911750503,0.6836281594395166
6,clean,mora_global,0.060051728030508615,0.24342361725702427,0.6795679949017612
6,clean,mora_permod,0.06232086002379749,0.24358933862017626,0.6799394302351127
