seed,cond,auroc,err_rate,aurc_conf,aurc_permod,aurc_global,aurc_random,sr_conf@0.6,sr_permod@0.6,sr_global@0.6,sr_conf@0.7,sr_permod@0.7,sr_global@0.7,sr_conf@0.8,sr_permod@0.8,sr_global@0.8,sr_conf@0.9,sr_permod@0.9,sr_global@0.9,deferred_shift_recall,attribution_acc
3,img_subset,0.5354411764705882,0.44642857142857145,0.45458846463673214,0.4652222649399007,0.4518764834661238,0.4763665360134431,0.43564356435643564,0.43564356435643564,0.43564356435643564,0.4406779661016949,0.4491525423728814,0.4491525423728814,0.4626865671641791,0.44776119402985076,0.44776119402985076,0.45695364238410596,0.45695364238410596,0.45695364238410596,1.0,1.0
3,clin_subset,0.5783823529411766,0.4523809523809524,0.3919164509683147,0.4916942527442644,0.4691424890036434,0.49187179462639413,0.39603960396039606,0.504950495049505,0.49504950495049505,0.423728813559322,0.5,0.4915254237288136,0.43283582089552236,0.4701492537313433,0.4626865671641791,0.4503311258278146,0.47019867549668876,0.47019867549668876,1.0,1.0
4,clean,0.5086764705882353,0.5238095238095238,0.4274995971009019,0.45722933178311514,0.4434082413644972,0.5252970832044771,0.48514851485148514,0.504950495049505,0.48514851485148514,0.5,0.5,0.5169491525423728,0.5074626865671642,0.5298507462686567,0.5223880597014925,0.5231788079470199,0.543046357615894,0.543046357615894,,
4,img_subset,0.5122058823529412,0.5119047619047619,0.4649713096337537,0.4709809156982638,0.45841568898886065,0.5439098960300187,0.44554455445544555,0.5346534653465347,0.5346534653465347,0.4830508474576271,0.5254237288135594,0.5338983050847458,0.5,0.5298507462686567,0.5298507462686567,0.5033112582781457,0.5298013245033113,0.5298013245033113,1.0,1.0
4,clin_subset,0.5301470588235294,0.5119047619047619,0.40999548199743013,0.5382666436139838,0.5201231276547017,0.5431905582072332,0.43564356435643564,0.5544554455445545,0.5643564356435643,0.4491525423728814,0.5254237288135594,0.5169491525423728,0.48507462686567165,0.5298507462686567,0.4925373134328358,0.5099337748344371,0.5099337748344371,0.5033112582781457,1.0,1.0
5,clean,0.5660294117647059,0.4583333333333333,0.3850534977299723,0.40470526783993827,0.4128135252906475,0.4803128922748311,0.3564356435643564,0.40594059405940597,0.39603960396039606,0.3898305084745763,0.423728813559322,0.4067796610169492,0.417910447761194,0.4253731343283582,0.43283582089552236,0.4370860927152318,0.45695364238410596,0.4503311258278146,,
5,img_subset,0.5254411764705883,0.4642857142857143,0.43255640165385095,0.41684592619708577,0.41064637374136465,0.435463668063158,0.40594059405940597,0.42574257425742573,0.42574257425742573,0.3983050847457627,0.4067796610169492,0.4067796610169492,0.417910447761194,0.44029850746268656,0.44029850746268656,0.4370860927152318,0.45695364238410596,0.45695364238410596,1.0,1.0
5,clin_subset,0.5301470588235294,0.4642857142857143,0.42605728755027983,0.44109144770505265,0.43206485474483086,0.4847366624785976,0.40594059405940597,0.43564356435643564,0.44554455445544555,0.3813559322033898,0.4491525423728814,0.4576271186440678,0.417910447761194,0.4626865671641791,0.44776119402985076,0.4370860927152318,0.46357615894039733,0.46357615894039733,1.0,1.0
6,clean,0.568529411764706,0.47619047619047616,0.3615994242782147,0.3897176654390798,0.387587146931304,0.43217837117911423,0.3564356435643564,0.38613861386138615,0.40594059405940597,0.3983050847457627,0.4067796610169492,0.3983050847457627,0.417910447761194,0.43283582089552236,0.44029850746268656,0.45695364238410596,0.47019867549668876,0.47019867549668876,,
6,img_subset,0.516470588235294,0.48214285714285715,0.4441831694853946,0.4461209298385211,0.45400247885496536,0.5235323962668171,0.44554455445544555,0.4752475247524752,0.48514851485148514,0.4661016949152542,0.4745762711864407,0.4745762711864407,0.44776119402985076,0.4701492537313433,0.4701492537313433,0.47019867549668876,0.4768211920529801,0.4768211920529801,1.0,1.0
