seed,cond,method,auroc,brier,n_eval
4,clean,permod,0.49955882352941183,0.2471242924664469,168
4,img_subset,static,0.4943181818181818,0.2815820720886019,81
4,img_subset,global,0.5,0.24145178177653853,81
4,img_subset,permod,0.4330808080808081,0.24968612401817783,81
4,clin_subset,static,0.5539215686274509,0.24348046965127712,87
4,clin_subset,global,0.5119825708061002,0.2428998248561936,87
4,clin_subset,permod,0.5354030501089325,0.2561616505080831,87
5,clean,static,0.5577941176470588,0.2393279458700327,168
5,clean,global,0.5417647058823529,0.2398483293251726,168
5,clean,permod,0.5548529411764705,0.23847873333946373,168
5,img_subset,static,0.44270015698587123,0.28650886598441794,75
5,img_subset,global,0.5,0.2295940276080274,75
5,img_subset,permod,0.42229199372056514,0.2469791854265534,75
5,clin_subset,static,0.5283333333333334,0.2558889051560161,86
5,clin_subset,global,0.5427777777777778,0.24401403751284736,86
5,clin_subset,permod,0.6355555555555555,0.23840132252031299,86
6,clean,static,0.5666176470588236,0.23830570712050722,168
6,clean,global,0.5617647058823529,0.2386805304015208,168
6,clean,permod,0.5930882352941176,0.23353900593890276,168
6,img_subset,static,0.4064139941690962,0.31352016813558126,84
6,img_subset,global,0.5,0.2432593662534457,84
6,img_subset,permod,0.40991253644314873,0.25506855782267207,84
6,clin_subset,static,0.49376114081996436,0.2506334137310465,84
6,clin_subset,global,0.4622697563874034,0.23948431762398192,84
6,clin_subset,permod,0.5151515151515151,0.2611658547707423,84
7,clean,static,0.5827941176470589,0.23983100387678075,168
7,clean,global,0.5725,0.23795316698441432,168
7,clean,permod,0.5498529411764707,0.24285618088677094,168
7,img_subset,static,0.4964285714285715,0.27229786598729555,78
7,img_subset,global,0.51,0.23199672451271633,78
7,img_subset,permod,0.5385714285714286,0.23721030552043032,78
7,clin_subset,static,0.5126705653021442,0.2323447051445584,84
7,clin_subset,global,0.5087719298245614,0.22501712829786333,84
7,clin_subset,permod,0.6387264457439896,0.21658764818123646,84
8,clean,static,0.5502941176470589,0.2401451914197085,168
8,clean,global,0.5488235294117647,0.23840062689819905,168
8,clean,permod,0.5623529411764705,0.23797301949817354,168
8,img_subset,static,0.6275894538606404,0.23730049450634857,95
8,img_subset,global,0.5,0.23589583791067645,95
8,img_subset,permod,0.461864406779661,0.2453049898332053,95
8,clin_subset,static,0.44298245614035087,0.2669476933792203,92
8,clin_subset,global,0.46296296296296297,0.24289071136491872,92
8,clin_subset,permod,0.45565302144249514,0.27835474011210587,92
9,clean,static,0.6125000000000002,0.2322662922444931,168
9,clean,global,0.5786764705882352,0.23824409924442397,168
9,clean,permod,0.6082352941176471,0.23488786226600294,168
9,img_subset,static,0.4807692307692307,0.29657357585107763,92
9,img_subset,global,0.5,0.24679594457782933,92
9,img_subset,permod,0.4302884615384615,0.2596469746548384,92
9,clin_subset,static,0.42553191489361697,0.262543088948986,77
9,clin_subset,global,0.4347517730496454,0.23858025048650236,77
9,clin_subset,permod,0.5361702127659576,0.2469644218136963,77
10,clean,static,0.561029411764706,0.24161488643535028,168
10,clean,global,0.5420588235294118,0.2404228221929275,168
10,clean,permod,0.5436764705882352,0.24777617310863048,168
10,img_subset,static,0.3678728070175438,0.33493604856402803,86
10,img_subset,global,0.5,0.24817767750456524,86
10,img_subset,permod,0.45942982456140347,0.26326137949681655,86
10,clin_subset,static,0.5067901234567901,0.2600724637788748,81
10,clin_subset,global,0.47592592592592586,0.250471417917903,81
