arm,fusion,calibration,seed,auroc,auprc,brier,nll,ece,mce,cal_slope,cal_intercept,sensitivity,specificity,ppv,npv,f1,kappa,threshold
clinical,-,isotonic,3,0.6683991683991684,0.7014777134345833,0.23003512318035085,0.6526330311916682,0.07953115683381665,0.20000000596046447,0.7900479558814054,0.004959606289851568,0.6756756756756757,0.6153846153846154,0.7142857142857143,0.5714285714285714,0.6944444444444444,0.28776978417266175,0.58583003282547
clinical,-,uncalibrated,4,0.591995841995842,0.6520116140112722,0.24050105611372388,0.6740415320348974,0.0845703563046834,0.49853119254112244,0.8920194798498807,0.07506239211154057,0.1891891891891892,0.7692307692307693,0.5384615384615384,0.4,0.28,-0.03656307129798919,0.6170409917831421
clinical,-,temperature,4,0.591995841995842,0.6520116140112722,0.2422983598349549,0.6792444892981909,0.10057133717690048,0.49758107334273893,0.5418789284065246,0.07495866608272066,0.40540540540540543,0.6153846153846154,0.6,0.42105263157894735,0.4838709677419355,0.01945525291828787,0.6170409917831421
clinical,-,platt,4,0.591995841995842,0.6520116140112722,0.2427236477863803,0.6808757482440819,0.07952438802624913,0.4826133795282336,0.46046437432911674,0.1254911397792031,0.3783783783783784,0.6153846153846154,0.5833333333333334,0.41025641025641024,0.45901639344262296,-0.005805515239477588,0.6170409917831421
clinical,-,isotonic,4,0.5488565488565489,0.6121932277104691,0.25891817210798707,0.72748992511737,0.1719126687954663,0.39679200302781786,0.20256128756400596,0.22947627256223513,0.40540540540540543,0.6153846153846154,0.6,0.42105263157894735,0.4838709677419355,0.01945525291828787,0.6170409917831421
fusion,concat,uncalibrated,0,0.5696465696465697,0.6865508677141889,0.2400414916755798,0.6712634361938906,0.06239903398922511,0.6029970645904541,0.7993206477331112,-0.04160870248958962,0.21621621621621623,0.8846153846153846,0.7272727272727273,0.4423076923076923,0.3333333333333333,0.08778280542986439,0.683932363986969
fusion,concat,temperature,0,0.5696465696465697,0.6865508677141889,0.2385144737853187,0.6686760523338746,0.054283326701360136,0.26734219215858945,1.0020785772237362,-0.04151968474028111,0.10810810810810811,1.0,1.0,0.4406779661016949,0.1951219512195122,0.09094884127678182,0.683932363986969
fusion,concat,platt,0,0.5696465696465697,0.6865508677141889,0.23851193794891482,0.6686628630170239,0.03816531597168829,0.26685254179992257,0.9958555190725539,-0.037728441272029754,0.10810810810810811,1.0,1.0,0.4406779661016949,0.1951219512195122,0.09094884127678182,0.683932363986969
fusion,concat,isotonic,0,0.5883575883575883,0.6665396599607125,0.23260021624704427,0.6445482453572002,0.04535654222559995,0.23240542386352153,0.4490330012002419,0.14632137861069588,0.13513513513513514,1.0,1.0,0.4482758620689655,0.23809523809523808,0.11423550087873457,0.683932363986969
fusion,concat,uncalibrated,1,0.48210526315789476,0.5919382762049188,0.2433417369521013,0.6800905835242607,0.100631678861285,0.10839543135269825,-0.4976074781029012,0.5849084992674336,0.39473684210526316,0.52,0.5555555555555556,0.3611111111111111,0.46153846153846156,-0.07929515418502198,0.5903939008712769
fusion,concat,temperature,1,0.48210526315789476,0.5919382762049188,0.2437554813644229,0.6806796539810958,0.06291966782279132,0.10871495573768342,-0.7609193772581483,0.5853751439751633,0.07894736842105263,0.84,0.42857142857142855,0.375,0.13333333333333333,-0.06686930091185417,0.5903939008712769
fusion,concat,platt,1,0.5178947368421053,0.5990760587702966,0.23948117826795579,0.6719662786515598,0.015070083153187808,0.015070083153187808,8.436323643315633,-2.5850674332351256,0.18421052631578946,0.76,0.5384615384615384,0.38,0.27450980392156865,-0.04764044943820234,0.5903939008712769
